Country,Export Value,Import Value (D),Trade Balance,Import Value,FlagBase64
Canada,1155227 ,-1127157 ,28070 ,1127157 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDB2NTEyaDE0NGwxMTItNjQgMTEyIDY0aDE0NFYwSDM2OEwyNTYgNjQgMTQ0IDBaIi8+PHBhdGggZmlsbD0iI2VlZSIgZD0iTTE0NCAwaDIyNHY1MTJIMTQ0WiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Im0zMDEgMjg5IDQ0LTIyLTIyLTExdi0yMmwtNDUgMjIgMjMtNDRoLTIzbC0yMi0zNC0yMiAzM2gtMjNsMjMgNDUtNDUtMjJ2MjJsLTIyIDExIDQ1IDIyLTEyIDIzaDQ1djMzaDIydi0zM2g0NXoiLz48L2c+PC9zdmc+"
Belgium,936353 ,-1000261 ,-63908 ,1000261 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMzMzMiIGQ9Ik0wIDBoMTY3bDM4LjIgMjUyLjZMMTY3IDUxMkgweiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0zNDUgMGgxNjd2NTEySDM0NWwtMzYuNy0yNTZ6Ii8+PHBhdGggZmlsbD0iI2ZmZGE0NCIgZD0iTTE2NyAwaDE3OHY1MTJIMTY3eiIvPjwvZz48L3N2Zz4="
India,933347 ,-1382629 ,-449283 ,1382629 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Im0wIDE2MCAyNTYtMzIgMjU2IDMydjE5MmwtMjU2IDMyTDAgMzUyeiIvPjxwYXRoIGZpbGw9IiNmZjk4MTEiIGQ9Ik0wIDBoNTEydjE2MEgwWiIvPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Ik0wIDM1Mmg1MTJ2MTYwSDBaIi8+PGNpcmNsZSBjeD0iMjU2IiBjeT0iMjU2IiByPSI3MiIgZmlsbD0iIzAwNTJiNCIvPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iNDgiIGZpbGw9IiNlZWUiLz48Y2lyY2xlIGN4PSIyNTYiIGN5PSIyNTYiIHI9IjI0IiBmaWxsPSIjMDA1MmI0Ii8+PC9nPjwvc3ZnPg=="
United Kingdom,905435 ,-1466367 ,-560931 ,1466367 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Im0wIDAgOCAyMi04IDIzdjIzbDMyIDU0LTMyIDU0djMybDMyIDQ4LTMyIDQ4djMybDMyIDU0LTMyIDU0djY4bDIyLTggMjMgOGgyM2w1NC0zMiA1NCAzMmgzMmw0OC0zMiA0OCAzMmgzMmw1NC0zMiA1NCAzMmg2OGwtOC0yMiA4LTIzdi0yM2wtMzItNTQgMzItNTR2LTMybC0zMi00OCAzMi00OHYtMzJsLTMyLTU0IDMyLTU0VjBsLTIyIDgtMjMtOGgtMjNsLTU0IDMyLTU0LTMyaC0zMmwtNDggMzItNDgtMzJoLTMybC01NCAzMkw2OCAwSDB6Ii8+PHBhdGggZmlsbD0iIzAwNTJiNCIgZD0iTTMzNiAwdjEwOEw0NDQgMFptMTc2IDY4TDQwNCAxNzZoMTA4ek0wIDE3NmgxMDhMMCA2OFpNNjggMGwxMDggMTA4VjBabTEwOCA1MTJWNDA0TDY4IDUxMlpNMCA0NDRsMTA4LTEwOEgwWm01MTItMTA4SDQwNGwxMDggMTA4Wm0tNjggMTc2TDMzNiA0MDR2MTA4eiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDB2NDVsMTMxIDEzMWg0NUwwIDB6bTIwOCAwdjIwOEgwdjk2aDIwOHYyMDhoOTZWMzA0aDIwOHYtOTZIMzA0VjBoLTk2em0yNTkgMEwzMzYgMTMxdjQ1TDUxMiAwaC00NXpNMTc2IDMzNiAwIDUxMmg0NWwxMzEtMTMxdi00NXptMTYwIDAgMTc2IDE3NnYtNDVMMzgxIDMzNmgtNDV6Ii8+PC9nPjwvc3ZnPg=="
Russia,905312 ,-392311 ,513001 ,392311 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMwMDUyYjQiIGQ9Ik01MTIgMTcwdjE3MmwtMjU2IDMyTDAgMzQyVjE3MGwyNTYtMzJ6Ii8+PHBhdGggZmlsbD0iI2VlZSIgZD0iTTUxMiAwdjE3MEgwVjBaIi8+PHBhdGggZmlsbD0iI2Q4MDAyNyIgZD0iTTUxMiAzNDJ2MTcwSDBWMzQyWiIvPjwvZz48L3N2Zz4="
Vietnam,842725 ,-638756 ,203969 ,638756 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEydjUxMkgweiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Im0yNTYgMTMzLjYgMjcuNiA4NUgzNzNMMzAwLjcgMjcxbDI3LjYgODUtNzIuMy01Mi41LTcyLjMgNTIuNiAyNy42LTg1LTcyLjMtNTIuNmg4OS40eiIvPjwvZz48L3N2Zz4="
Australia,809528 ,-582787 ,226741 ,582787 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMwMDUyYjQiIGQ9Ik0wIDBoNTEydjUxMkgweiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Im0xNTQgMzAwIDE0IDMwIDMyLTgtMTQgMzAgMjUgMjAtMzIgNyAxIDMzLTI2LTIxLTI2IDIxIDEtMzMtMzMtNyAyNi0yMC0xNC0zMCAzMiA4em0yMjItMjdoNDdsLTM4IDI3IDE1LTQ0IDE0IDQ0em03LTE2MiA3IDE1IDE2LTQtNyAxNSAxMiAxMC0xNSAzdjE3bC0xMy0xMS0xMyAxMXYtMTdsLTE1LTMgMTItMTAtNy0xNSAxNiA0em01NyA2NyA3IDE1IDE2LTQtNyAxNSAxMiAxMC0xNSAzdjE2bC0xMy0xMC0xMyAxMXYtMTdsLTE1LTMgMTItMTAtNy0xNSAxNiA0em0tMTIyIDIyIDcgMTUgMTYtNC03IDE1IDEyIDEwLTE1IDN2MTZsLTEzLTEwLTEzIDExdi0xN2wtMTUtMyAxMi0xMC03LTE1IDE2IDR6bTY1IDE1NiA3IDE1IDE2LTQtNyAxNSAxMiAxMC0xNSAzdjE3bC0xMy0xMS0xMyAxMXYtMTdsLTE1LTMgMTItMTAtNy0xNSAxNiA0ek0wIDB2MzJsMzIgMzJMMCA5NnYxNjBoMzJsMzItMzIgMzIgMzJoMzJ2LTgzbDgzIDgzaDQ1bC04LTE2IDgtMTV2LTE0bC04My04M2g4M1Y5NmwtMzItMzIgMzItMzJWMEg5Nkw2NCAzMiAzMiAwWiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0zMiAwdjMySDB2NjRoMzJ2MTYwaDY0Vjk2aDE2MFYzMkg5NlYwWm05NiAxMjggMTI4IDEyOHYtMzFsLTk3LTk3eiIvPjwvZz48L3N2Zz4="
Spain,808346 ,-954962 ,-146616 ,954962 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Im0wIDEyOCAyNTYtMzIgMjU2IDMydjI1NmwtMjU2IDMyTDAgMzg0WiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEydjEyOEgwem0wIDM4NGg1MTJ2MTI4SDB6Ii8+PGcgZmlsbD0iI2VlZSI+PHBhdGggZD0iTTE0NCAzMDRoLTE2di04MGgxNnptMTI4IDBoMTZ2LTgwaC0xNnoiLz48ZWxsaXBzZSBjeD0iMjA4IiBjeT0iMjk2IiByeD0iNDgiIHJ5PSIzMiIvPjwvZz48ZyBmaWxsPSIjZDgwMDI3Ij48cmVjdCB3aWR0aD0iMTYiIGhlaWdodD0iMjQiIHg9IjEyOCIgeT0iMTkyIiByeD0iOCIvPjxyZWN0IHdpZHRoPSIxNiIgaGVpZ2h0PSIyNCIgeD0iMjcyIiB5PSIxOTIiIHJ4PSI4Ii8+PHBhdGggZD0iTTIwOCAyNzJ2MjRhMjQgMjQgMCAwIDAgMjQgMjQgMjQgMjQgMCAwIDAgMjQtMjR2LTI0aC0yNHoiLz48L2c+PHJlY3Qgd2lkdGg9IjMyIiBoZWlnaHQ9IjE2IiB4PSIxMjAiIHk9IjIwOCIgZmlsbD0iI2ZmOTgxMSIgcnk9IjgiLz48cmVjdCB3aWR0aD0iMzIiIGhlaWdodD0iMTYiIHg9IjI2NCIgeT0iMjA4IiBmaWxsPSIjZmY5ODExIiByeT0iOCIvPjxyZWN0IHdpZHRoPSIzMiIgaGVpZ2h0PSIxNiIgeD0iMTIwIiB5PSIzMDQiIGZpbGw9IiNmZjk4MTEiIHJ4PSI4Ii8+PHJlY3Qgd2lkdGg9IjMyIiBoZWlnaHQ9IjE2IiB4PSIyNjQiIHk9IjMwNCIgZmlsbD0iI2ZmOTgxMSIgcng9IjgiLz48cGF0aCBmaWxsPSIjZmY5ODExIiBkPSJNMTYwIDI3MnYyNGMwIDggNCAxNCA5IDE5bDUtNiA1IDEwYTIxIDIxIDAgMCAwIDEwIDBsNS0xMCA1IDZjNi01IDktMTEgOS0xOXYtMjRoLTlsLTUgOC01LThoLTEwbC01IDgtNS04eiIvPjxwYXRoIGQ9Ik0xMjIgMjUyaDE3Mm0tMTcyIDI0aDI4bTExNiAwaDI4Ii8+PHBhdGggZmlsbD0iI2Q4MDAyNyIgZD0iTTEyMiAyNDhhNCA0IDAgMCAwLTQgNCA0IDQgMCAwIDAgNCA0aDE3MmE0IDQgMCAwIDAgNC00IDQgNCAwIDAgMC00LTR6bTAgMjRhNCA0IDAgMCAwLTQgNCA0IDQgMCAwIDAgNCA0aDI4YTQgNCAwIDAgMCA0LTQgNCA0IDAgMCAwLTQtNHptMTQ0IDBhNCA0IDAgMCAwLTQgNCA0IDQgMCAwIDAgNCA0aDI4YTQgNCAwIDAgMCA0LTQgNCA0IDAgMCAwLTQtNHoiLz48cGF0aCBmaWxsPSIjZWVlIiBkPSJNMTk2IDE2OGMtNyAwLTEzIDUtMTUgMTFsLTUtMWMtOSAwLTE2IDctMTYgMTZzNyAxNiAxNiAxNmM3IDAgMTMtNCAxNS0xMWExNiAxNiAwIDAgMCAxNy00IDE2IDE2IDAgMCAwIDE3IDQgMTYgMTYgMCAxIDAgMTAtMjAgMTYgMTYgMCAwIDAtMjctNWMtMy00LTctNi0xMi02em0wIDhjNSAwIDggNCA4IDggMCA1LTMgOC04IDgtNCAwLTgtMy04LTggMC00IDQtOCA4LTh6bTI0IDBjNSAwIDggNCA4IDggMCA1LTMgOC04IDgtNCAwLTgtMy04LTggMC00IDQtOCA4LTh6bS00NCAxMCA0IDEgNCA4YzAgNC00IDctOCA3cy04LTMtOC04YzAtNCA0LTggOC04em02NCAwYzUgMCA4IDQgOCA4IDAgNS0zIDgtOCA4LTQgMC04LTMtOC03bDQtOHoiLz48cGF0aCBmaWxsPSJub25lIiBkPSJNMjIwIDI4NHYxMmMwIDcgNSAxMiAxMiAxMnMxMi01IDEyLTEydi0xMnoiLz48cGF0aCBmaWxsPSIjZmY5ODExIiBkPSJNMjAwIDE2MGgxNnYzMmgtMTZ6Ii8+PHBhdGggZmlsbD0iI2VlZSIgZD0iTTIwOCAyMjRoNDh2NDhoLTQ4eiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Im0yNDggMjA4LTggOGgtNjRsLTgtOGMwLTEzIDE4LTI0IDQwLTI0czQwIDExIDQwIDI0em0tODggMTZoNDh2NDhoLTQ4eiIvPjxyZWN0IHdpZHRoPSIyMCIgaGVpZ2h0PSIzMiIgeD0iMjIyIiB5PSIyMzIiIGZpbGw9IiNkODAwMjciIHJ4PSIxMCIgcnk9IjEwIi8+PHBhdGggZmlsbD0iI2ZmOTgxMSIgZD0iTTE2OCAyMzJ2OGg4djE2aC04djhoMzJ2LThoLTh2LTE2aDh2LTh6bTgtMTZoNjR2OGgtNjR6Ii8+PGcgZmlsbD0iI2ZmZGE0NCI+PGNpcmNsZSBjeD0iMTg2IiBjeT0iMjAyIiByPSI2Ii8+PGNpcmNsZSBjeD0iMjA4IiBjeT0iMjAyIiByPSI2Ii8+PGNpcmNsZSBjeD0iMjMwIiBjeT0iMjAyIiByPSI2Ii8+PC9nPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0xNjkgMjcydjQzYTI0IDI0IDAgMCAwIDEwIDR2LTQ3aC0xMHptMjAgMHY0N2EyNCAyNCAwIDAgMCAxMC00di00M2gtMTB6Ii8+PGcgZmlsbD0iIzMzOGFmMyI+PGNpcmNsZSBjeD0iMjA4IiBjeT0iMjcyIiByPSIxNiIvPjxyZWN0IHdpZHRoPSIzMiIgaGVpZ2h0PSIxNiIgeD0iMjY0IiB5PSIzMjAiIHJ5PSI4Ii8+PHJlY3Qgd2lkdGg9IjMyIiBoZWlnaHQ9IjE2IiB4PSIxMjAiIHk9IjMyMCIgcnk9IjgiLz48L2c+PC9nPjwvc3ZnPg=="
Malaysia,787894 ,-575059 ,212835 ,575059 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDI1NiAyNTYgMGgyNTZ2NTUuN2wtMTkuNSAzMyAxOS41IDMzLjd2NjYuOGwtMjIuMSAzNy43TDUxMiAyNTZ2NjYuOGwtMjAuMiAzOC41IDIwLjIgMjguM3Y2Ni43bC0yNTQuNSAyOC4yTDAgNDU2LjN2LTY2LjdsMjYtMzUuMS0yNi0zMS43eiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0yNTYgMjU2aDI1NnYtNjYuOEgyMjIuOXptLTMzLjEtMTMzLjZINTEyVjU1LjdIMjIyLjl6TTUxMiA1MTJ2LTU1LjdIMFY1MTJ6TTAgMzg5LjZoNTEydi02Ni44SDB6Ii8+PHBhdGggZmlsbD0iIzAwNTJiNCIgZD0iTTAgMGgyNTZ2MjU2SDB6Ii8+PGcgZmlsbD0iI2ZmZGE0NCI+PHBhdGggZD0iTTE3MC4yIDIxOS4xYTYzLjMgNjMuMyAwIDEgMSAzMC4xLTExOSA3OCA3OCAwIDEgMCAwIDExMS40IDYzIDYzIDAgMCAxLTMwIDcuNnoiLz48cGF0aCBkPSJtMTg4IDExMS4zIDExLjMgMjMuNSAyNS40LTUuOS0xMS40IDIzLjUgMjAuNCAxNi4yLTI1LjQgNS43LjEgMjYtMjAuMy0xNi4yLTIwLjQgMTYuMi4xLTI2LTI1LjQtNS43IDIwLjQtMTYuMi0xMS40LTIzLjUgMjUuNCA2eiIvPjwvZz48L2c+PC9zdmc+"
United Arab Emirates,781323 ,-703113 ,78210 ,703113 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNhMjAwMWQiIGQ9Ik0wIDBoMTY3bDUyLjMgMjUyTDE2NyA1MTJIMHoiLz48cGF0aCBmaWxsPSIjZWVlIiBkPSJtMTY3IDE2NyAxNzAuOC00NC42TDUxMiAxNjd2MTc4bC0xNzMuMiAzNi45TDE2NyAzNDV6Ii8+PHBhdGggZmlsbD0iIzZkYTU0NCIgZD0iTTE2NyAwaDM0NXYxNjdIMTY3eiIvPjxwYXRoIGZpbGw9IiMzMzMiIGQ9Ik0xNjcgMzQ1aDM0NXYxNjdIMTY3eiIvPjwvZz48L3N2Zz4="
Switzerland,763903 ,-752687 ,11216 ,752687 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEydjUxMkgweiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0zODkuNiAyMTEuNWgtODl2LTg5aC04OS4xdjg5aC04OXY4OWg4OXY4OWg4OXYtODloODl6Ii8+PC9nPjwvc3ZnPg=="
Singapore,704025 ,-858400 ,-154375 ,858400 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Im0wIDI1NiAyNTcuNy01MUw1MTIgMjU2djI1NkgweiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEydjI1NkgweiIvPjxnIGZpbGw9IiNlZWUiPjxwYXRoIGQ9Ik0xNTUuOCAxMzMuNkE3OCA3OCAwIDAgMSAyMTcgNTcuNWE3OC4yIDc4LjIgMCAwIDAtMTYuNy0xLjggNzggNzggMCAxIDAgMTYuNyAxNTQgNzggNzggMCAwIDEtNjEuMi03Ni4xek0yNTYgNjEuMmw1LjUgMTdoMThsLTE0LjYgMTAuNSA1LjYgMTdMMjU2IDk1LjJsLTE0LjUgMTAuNSA1LjYtMTctMTQuNS0xMC41aDE3Ljl6Ii8+PHBhdGggZD0ibTIxMi42IDk0LjYgNS42IDE3SDIzNmwtMTQuNCAxMC41IDUuNSAxNy0xNC41LTEwLjUtMTQuNCAxMC41IDUuNS0xNy0xNC41LTEwLjVoMTcuOXptODYuOCAwIDUuNSAxN2gxNy45bC0xNC41IDEwLjUgNS41IDE3LTE0LjQtMTAuNS0xNC41IDEwLjUgNS41LTE3LTE0LjQtMTAuNWgxNy44em0tMTYuNyA1MC4xIDUuNSAxN2gxNy45bC0xNC41IDEwLjUgNS41IDE3LTE0LjQtMTAuNS0xNC41IDEwLjUgNS41LTE3LTE0LjQtMTAuNWgxNy45em0tNTMuNCAwIDUuNSAxN2gxOGwtMTQuNSAxMC41IDUuNSAxNy0xNC41LTEwLjUtMTQuNCAxMC41IDUuNS0xNy0xNC41LTEwLjVoMTcuOXoiLz48L2c+PC9nPjwvc3ZnPg=="
Brazil,691176 ,-532395 ,158781 ,532395 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Ik0wIDBoNTEydjUxMkgweiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0yNTYgMTAwLjIgNDY3LjUgMjU2IDI1NiA0MTEuOCA0NC41IDI1NnoiLz48cGF0aCBmaWxsPSIjZWVlIiBkPSJNMTc0LjIgMjIxYTg3IDg3IDAgMCAwLTcuMiAzNi4zbDE2MiA0OS44YTg4LjUgODguNSAwIDAgMCAxNC40LTM0Yy00MC42LTY1LjMtMTE5LjctODAuMy0xNjkuMS01MnoiLz48cGF0aCBmaWxsPSIjMDA1MmI0IiBkPSJNMjU1LjcgMTY3YTg5IDg5IDAgMCAwLTQxLjkgMTAuNiA4OSA4OSAwIDAgMC0zOS42IDQzLjQgMTgxLjcgMTgxLjcgMCAwIDEgMTY5LjEgNTIuMiA4OSA4OSAwIDAgMC05LTU5LjQgODkgODkgMCAwIDAtNzguNi00Ni44ek0yMTIgMjUwLjVhMTQ5IDE0OSAwIDAgMC00NSA2LjggODkgODkgMCAwIDAgMTAuNSA0MC45IDg5IDg5IDAgMCAwIDEyMC42IDM2LjIgODkgODkgMCAwIDAgMzAuNy0yNy4zQTE1MSAxNTEgMCAwIDAgMjEyIDI1MC41eiIvPjwvZz48L3N2Zz4="
Saudi Arabia,684553 ,-393437 ,291116 ,393437 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiM0OTZlMmQiIGQ9Ik0wIDBoNTEydjUxMkgweiIvPjxnIGZpbGw9IiNlZWUiPjxwYXRoIGQ9Ik0xNDQuNyAzMDZjMCAxOC41IDE1IDMzLjUgMzMuNCAzMy41aDEwMC4yYTI3LjggMjcuOCAwIDAgMCAyNy44IDI3LjhoMzMuNGEyNy44IDI3LjggMCAwIDAgMjcuOC0yNy44VjMwNnptMjI1LjQtMTYxLjN2NzhjMCAxMi4yLTEwIDIyLjItMjIuMyAyMi4ydjMzLjRjMzAuNyAwIDU1LjctMjUgNTUuNy01NS43di03Ny45SDM3MHptLTIzOS4zIDc4YzAgMTIuMi0xMCAyMi4yLTIyLjMgMjIuMnYzMy40YzMwLjcgMCA1NS43LTI1IDU1LjctNTUuN3YtNzcuOWgtMzMuNHoiLz48cGF0aCBkPSJNMzIwIDE0NC43aDMzLjR2NzhIMzIwem0tNTAgNDQuNWE1LjYgNS42IDAgMCAxLTExLjIgMHYtNDQuNWgtMzMuNHY0NC41YTUuNiA1LjYgMCAwIDEtMTEuMSAwdi00NC41aC0zMy40djQ0LjVhMzkgMzkgMCAwIDAgMzkgMzkgMzguNyAzOC43IDAgMCAwIDIyLjItNyAzOC43IDM4LjcgMCAwIDAgMjIuMiA3YzEuNyAwIDMuNC0uMSA1LS4zYTIyLjMgMjIuMyAwIDAgMS0yMS42IDE3djMzLjRjMzAuNiAwIDU1LjYtMjUgNTUuNi01NS43di03Ny45SDI3MHoiLz48cGF0aCBkPSJNMTgwLjkgMjQ0LjloNTB2MzMuNGgtNTB6Ii8+PC9nPjwvZz48L3N2Zz4="
Poland,663461 ,-735351 ,-71890 ,735351 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Im0wIDI1NiAyNTYuNC00NC4zTDUxMiAyNTZ2MjU2SDB6Ii8+PHBhdGggZmlsbD0iI2VlZSIgZD0iTTAgMGg1MTJ2MjU2SDB6Ii8+PC9nPjwvc3ZnPg=="
